peak_Q,lag_WSS_Q,lag_WSS_WL,Category
16548.85,2.25,3.75,Medium
14503.06,0.75,-11.75,Medium
14041.38,-6.25,-18.75,Medium
12564.88,-2.25,-14.75,Medium
11536.32,12.5,24.75,Medium
33350.3,12.5,20.25,High
16248.8,-2.0,-14.5,Medium
14381.6,-11.75,-24.25,Medium
14528.21,0.5,-12.0,Medium
12537.15,-12.25,-24.75,Medium
13076.88,-11.5,-24.0,Medium
14587.79,2.25,5.75,Medium
17957.3,12.5,17.25,Medium
15214.47,-12.25,-24.75,Medium
15251.1,-12.25,-24.75,Medium
15095.72,-1.25,-13.75,Medium
14365.63,2.5,6.5,Medium
22974.17,12.5,18.25,High
22510.52,12.0,15.75,High
17568.24,12.5,0.0,Medium
25377.46,11.5,18.25,High
13647.51,4.75,7.25,Medium
16028.44,8.25,12.0,Medium
15029.89,12.5,0.0,Medium
14876.33,12.5,0.0,Medium
14644.41,-3.25,-15.75,Medium
11564.18,-4.75,-17.25,Medium
11437.56,-11.75,-24.25,Medium
24124.5,12.25,19.5,High
22768.78,12.5,0.0,High
17950.9,12.5,0.0,Medium
17627.93,-1.75,-14.25,Medium
13488.83,12.5,0.0,Medium
12944.24,-11.75,-24.25,Medium
48870.79,12.5,20.25,High
15294.7,12.5,0.0,Medium
15411.3,0.0,-12.5,Medium
15054.58,-11.75,0.5,Medium
18216.5,-12.25,-11.0,Medium
18399.94,-11.75,-24.25,Medium
18520.85,-0.75,-12.75,Medium
10343.03,11.75,-0.75,Medium
9761.288,0.25,-12.25,Low
9321.453,-11.0,-23.5,Low
9131.327,-2.0,-14.5,Low
8302.853,2.0,4.0,Low
7263.659,-5.75,-18.25,Low
7322.016,12.25,21.25,Low
8737.303,6.5,12.5,Low
7690.059,1.5,-11.0,Low
6399.645,0.75,-11.75,Low
6425.762,5.75,10.25,Low
6002.568,3.0,4.75,Low
5789.755,0.75,2.5,Low
5955.268,3.75,7.0,Low
7678.926,11.75,24.0,Low
7372.953,1.75,-4.25,Low
6514.983,-0.75,-13.25,Low
5310.228,4.5,9.25,Low
6623.944,12.0,24.25,Low
6714.684,12.5,16.25,Low
9672.511,12.5,17.25,Low
7016.87,-3.0,-15.5,Low
6087.853,0.5,12.75,Low
11599.51,9.5,13.75,Medium
14271.11,12.5,24.75,Medium
15470.55,6.5,13.75,Medium
11576.51,-11.5,-24.0,Medium
7409.791,-3.75,-16.25,Low
7143.191,-10.75,-23.25,Low
7194.568,0.25,-12.25,Low
5208.041,4.25,10.25,Low
5820.719,8.25,13.0,Low
4591.548,3.0,2.5,Mild
4442.429,-11.75,0.5,Mild
7065.268,4.5,16.75,Low
7512.004,12.5,23.75,Low
6946.1,-12.25,0.0,Low
14869.4,9.25,21.5,Medium
20025.19,4.75,10.25,High
11259.58,-10.5,-23.0,Medium
9510.717,-4.25,-16.75,Low
8316.767,-0.5,-13.0,Low
7658.721,-12.25,-24.75,Low
8447.12,0.75,-0.75,Low
6139.98,-0.75,-13.25,Low
6137.695,-12.25,-24.75,Low
6217.531,-12.25,-24.75,Low
7137.876,11.25,17.75,Low
9256.901,8.5,15.5,Low
8958.182,2.75,-9.75,Low
14732.59,12.5,19.0,Medium
11708.1,0.25,-12.25,Medium
8400.899,-11.75,-24.25,Low
