,Metric,Value
0,MSE,0.06490441750046319
1,RMSE,0.2547634540126648
2,Bias,-0.03304328171259932
3,KGE,0.8648511099001698
4,Mean Peak Error,0.22959141849171721
5,Peak Timing Error,340.8
