,Metric,Value
0,MSE,0.04167112340003293
1,RMSE,0.20413506166269657
2,Bias,0.022095839050295704
3,KGE,0.9035776898403803
4,Mean Peak Error,0.3005171593893727
5,Peak Timing Error,318.0
