,Metric,Value
0,MSE,0.0037790471497406272
1,RMSE,0.0614739550520432
2,Bias,-0.004274754271051929
3,KGE,0.9634122674353287
4,Mean Peak Error,0.1968499910701474
5,Peak Timing Error,305.6
