,Metric,Value
0,MSE,0.011196052072591984
1,RMSE,0.10581139859482051
2,Bias,0.007597674369316327
3,KGE,0.9706072653920008
4,Mean Peak Error,0.2721240038667737
5,Peak Timing Error,193.75
