,Metric,Value
0,MSE,0.2633739806297429
1,RMSE,0.5131997473009343
2,Bias,-0.1283289427904985
3,KGE,0.5983453176705075
4,Mean Peak Error,1.2957529696711063
5,Peak Timing Error,290.8
