,Metric,Value
0,MSE,0.004969699028625897
1,RMSE,0.07049609229330302
2,Bias,-0.009697358016985506
3,KGE,0.949879471334067
4,Mean Peak Error,0.18824059038054547
5,Peak Timing Error,302.4
