,Metric,Value
0,MSE,0.03031546937343864
1,RMSE,0.17411338079951993
2,Bias,-0.029361031617850544
3,KGE,0.9006369528150076
4,Mean Peak Error,0.19871344237219893
5,Peak Timing Error,353.4
