,Metric,Value
0,MSE,0.007596358107988787
1,RMSE,0.08715708868467778
2,Bias,0.02985733424762756
3,KGE,0.9496239581579721
4,Mean Peak Error,0.22378482936513028
5,Peak Timing Error,311.8
