,Metric,Value
0,MSE,0.390219810649371
1,RMSE,0.624675764416526
2,Bias,-0.19665307939625595
3,KGE,0.49101138197594285
4,Mean Peak Error,0.9656019648264795
5,Peak Timing Error,389.0
